COD_PROVINCIA,province_name,latitude,longitude,precipitation_annual_mm,jan_precip_mm,feb_precip_mm,mar_precip_mm,apr_precip_mm,may_precip_mm,jun_precip_mm,jul_precip_mm,aug_precip_mm,sep_precip_mm,oct_precip_mm,nov_precip_mm,dec_precip_mm,start_year,end_year
34,Palencia,42.40816813050006,-4.61893106073844,591.641,59.88166666666667,41.446,47.461,56.84,51.449666666666666,40.87,24.149,24.459,39.71,67.29066666666667,74.1,63.984,1995,2024
35,"Palmas, Las",27.956567100000058,-15.60531161349521,164.38233333333335,23.529,19.499000000000002,17.039666666666665,10.1,6.995666666666667,4.2299999999999995,2.366333333333334,5.135666666666666,11.33,15.696333333333333,20.540000000000003,27.920666666666666,1995,2024
36,Pontevedra,42.36343819450008,-8.533924750728751,1329.6626666666666,162.38833333333332,112.679,123.61766666666668,113.4,87.18233333333333,51.61,30.15266666666667,37.64433333333333,68.82,175.212,181.07000000000002,185.88633333333334,1995,2024
37,Salamanca,40.763790924000034,-6.022417740995879,581.8676666666667,64.76933333333334,46.24933333333333,53.971,58.12,45.51833333333333,26.44,11.036,13.371333333333332,35.57,79.484,72.68,74.65833333333333,1995,2024
38,Santa Cruz de Tenerife,28.295099332000035,-16.620662869507697,250.925,37.778666666666666,32.471,25.585333333333335,16.16,8.659333333333333,4.95,3.0690000000000004,6.355,11.53,24.583000000000002,36.89,42.89366666666667,1995,2024
39,Cantabria,43.13570550750006,-4.264261444415774,812.9276666666667,89.84833333333333,67.82466666666667,64.62466666666667,66.3,59.964333333333336,48.21,34.068999999999996,36.99333333333333,57.129999999999995,83.27633333333333,112.4,92.287,1995,2024
40,Segovia,41.108833974500044,-4.183805510118308,496.68199999999996,48.38066666666667,35.059666666666665,43.57566666666666,51.15,48.81466666666667,30.509999999999998,12.978666666666667,15.107333333333333,33.4,66.309,58.809999999999995,52.58633333333333,1995,2024
41,Sevilla,37.52041492950005,-5.653307476865858,498.0523333333333,56.87466666666667,43.96,58.05266666666667,48.0,33.03566666666667,6.680000000000001,0.8576666666666667,3.368666666666667,28.639999999999997,69.905,66.9,81.778,1995,2024
42,Soria,41.601411720000044,-2.72147948535578,464.70233333333334,39.308,28.761000000000003,38.626,48.97,49.71366666666667,45.2,20.749333333333333,21.927333333333333,32.33,50.35433333333334,49.62,39.14266666666666,1995,2024
43,Tarragona,41.05338650550007,0.6270863050618757,446.01,32.953,21.528333333333332,37.12766666666666,43.72,44.795,24.65,18.755,30.824333333333335,53.36,58.13533333333333,49.74,30.421333333333333,1995,2024
44,Teruel,40.59881203300006,-0.9214764144525668,395.0806666666667,25.895333333333333,17.515666666666668,34.58566666666666,41.559999999999995,44.83633333333333,33.19,18.662,26.732333333333333,43.54,42.129,41.809999999999995,24.624333333333333,1995,2024
45,Toledo,39.788307378500065,-4.102631052231721,393.34066666666666,34.833666666666666,28.188,37.79933333333334,43.64,37.42733333333333,17.490000000000002,6.4479999999999995,11.573333333333332,29.23,56.34766666666667,46.24,44.123333333333335,1995,2024
46,Valencia/Valencia,39.33404678750006,-0.8019770714363135,387.2816666666667,30.163,21.749666666666666,39.68,37.99,38.367666666666665,21.44,10.240333333333332,18.197,51.9,42.449333333333335,40.86,34.24466666666667,1995,2024
47,Valladolid,41.70412361100006,-4.697091012250786,428.09433333333334,41.17833333333333,27.108999999999998,34.441,45.980000000000004,42.315000000000005,29.77,13.288666666666668,13.495333333333333,29.709999999999997,56.843666666666664,49.53,44.43333333333333,1995,2024
48,Bizkaia,43.23917273750004,-2.8511295597341766,891.0596666666667,99.65466666666666,80.243,73.38733333333333,71.02,64.87266666666667,57.18,40.68233333333333,40.83733333333334,59.24,80.259,125.93,97.75333333333333,1995,2024
49,Zamora,41.686580826500034,-5.9425946080037,549.622,62.02066666666666,42.98633333333333,49.166000000000004,53.230000000000004,44.19566666666667,27.85,13.330000000000002,14.580333333333334,34.03,72.49866666666667,64.61,71.12433333333334,1995,2024
50,Zaragoza,41.84402038850007,-1.170849419808773,454.08033333333333,39.318333333333335,29.258,38.54333333333333,46.29,46.861666666666665,43.16,23.973333333333336,22.867666666666665,36.309999999999995,44.051,48.51,34.937,1995,2024
51,Ceuta,35.894265302000065,-5.3471902688858375,604.76,79.77333333333333,63.85633333333333,77.94433333333333,50.96,28.406333333333333,5.71,0.7853333333333333,2.5420000000000003,25.06,70.29766666666666,91.08999999999999,108.33466666666666,1995,2024
52,Melilla,35.29265108100003,-2.951647995916824,425.82233333333335,53.733333333333334,45.28966666666667,48.452999999999996,40.93,27.868999999999996,6.38,3.1206666666666667,8.080666666666666,28.92,50.736666666666665,58.7,53.60933333333333,1995,2024
